Chapter,Module,Quiz Name,Item (File Name),Status,Comments,Subject,Content Type (metadata for PAF),Asset Name/Title,PAF Assignment ID,PAF Activity ID ,PAF Container ID
CHAPTER 11 RACE and ETHNICITY,1,Quiz: What is the Difference between Race and Ethnicity?,Rev.11.1.1.html,Final,How/when/where will we actually be handing these files?,Brix,Brix,,1308b6c8-90d6-4849-a799-df4dce4d8b76,4aa6d6f2-f1e4-4735-99c2-8d5ec6322994,target1
CHAPTER 11 RACE and ETHNICITY,1,Quiz: What is the Difference between Race and Ethnicity?,Rev.11.1.2.html,Final,,,Brix,,1308b6c8-90d6-4849-a799-df4dce4d8b76,22c251ee-8b16-4cd8-96be-937bc6023725,target1
CHAPTER 11 RACE and ETHNICITY,1,Quiz: What is the Difference between Race and Ethnicity?,Rev.11.1.3.html,Final,,,Brix,,1308b6c8-90d6-4849-a799-df4dce4d8b76,971e1b1d-d5ea-4b9b-abaa-c8656059aa34,target1
CHAPTER 11 RACE and ETHNICITY,1,Quiz: What is the Difference between Race and Ethnicity?,Rev.11.1.4.html,Final,,,Brix,,1308b6c8-90d6-4849-a799-df4dce4d8b76,15ddcabb-e45c-4401-87d9-b00d27d17184,target1
CHAPTER 11 RACE and ETHNICITY,1,Quiz: What is the Difference between Race and Ethnicity?,Rev.11.1.5.html,Final,,,Brix,,1308b6c8-90d6-4849-a799-df4dce4d8b76,f8e11a79-d71c-4a22-8458-8ed1a56f51a8,target1
CHAPTER 11 RACE and ETHNICITY,2,Quiz: Is Race Real?,Rev.11.2.1.html,Final,,,Brix,,e5a009a7-582e-4bf0-9c95-29fe1c1a6f82,0e1b9216-e2de-4309-a4ca-4c9b55faf22e,target1
CHAPTER 11 RACE and ETHNICITY,2,Quiz: Is Race Real?,Rev.11.2.2.html,Final,,,Brix,,e5a009a7-582e-4bf0-9c95-29fe1c1a6f82,1e5345d0-47f9-49b3-b80d-ec223846985f,target1
CHAPTER 11 RACE and ETHNICITY,2,Quiz: Is Race Real?,Rev.11.2.3.html,Final,,,Brix,,e5a009a7-582e-4bf0-9c95-29fe1c1a6f82,c145ad58-a49c-400d-a6a3-78474f8b78bb,target1
CHAPTER 11 RACE and ETHNICITY,2,Quiz: Is Race Real?,Rev.11.2.4.html,Final,,,Brix,,e5a009a7-582e-4bf0-9c95-29fe1c1a6f82,2037e253-0997-47ec-9c9c-927efdeeb52d,target1
CHAPTER 11 RACE and ETHNICITY,2,Quiz: Is Race Real?,Rev.11.2.5.html,Final,,,Brix,,e5a009a7-582e-4bf0-9c95-29fe1c1a6f82,93079fdc-edc0-4a56-b7bb-7601d70e1251,target1
CHAPTER 11 RACE and ETHNICITY,3,Quiz: What is Racism?,Rev.11.3.1.html,Final,,,Brix,,d5819c1a-3730-4000-b2ae-36a9d5bc0c84,8361b9cf-772a-4787-a50f-cba716a941f4,target1
CHAPTER 11 RACE and ETHNICITY,3,Quiz: What is Racism?,Rev.11.3.2.html,Final,,,Brix,,d5819c1a-3730-4000-b2ae-36a9d5bc0c84,b80680d7-3a33-4508-ada6-22e7cbb96e49,target1
CHAPTER 11 RACE and ETHNICITY,3,Quiz: What is Racism?,Rev.11.3.3.html,Final,,,Brix,,d5819c1a-3730-4000-b2ae-36a9d5bc0c84,7adba5a5-051a-43c2-ad75-f119512755e3,target1
CHAPTER 11 RACE and ETHNICITY,3,Quiz: What is Racism?,Rev.11.3.4.html,Final,,,Brix,,d5819c1a-3730-4000-b2ae-36a9d5bc0c84,0704fd90-9a99-4beb-a6d2-4d7375da6d0e,target1
