Asset Name/Title,Habitat Card Asset Resides On,File Name,GUID from Habitat,Subject,PAF Assignment ID,PAF Activity ID,PAF Container ID
Figure 3.1: Sensory Coding,Sensory System Basics,E3.1.html,c13c498f2c12482a8fbb0ea343d2e305,Psychology,e2c4aa76-7da8-411e-b721-d70b1f1cafab,989047bd-3d36-417f-a58d-be1098f8dff6,bc13c498f2c12482a8fbb0ea343d2e305
Figure 3.12: Sound Waves,Hearing,E3.12.html,6b09f40fc76d490aa5156f975233d4a2,Psychology,efbfe986-2424-4027-ae74-94e2c23760b9,e044a0bb-2f4a-4676-990e-38593bd609ac,b6b09f40fc76d490aa5156f975233d4a2
Figure 3.19: Perceptual Constancies,Constancies,E3.24.html,3efe1ad3670e4afea5b305704cb705c8,Psychology,cca319f8-449a-4180-b2d8-730a3f77b625,481fe3e2-5522-4054-8d9a-f32b33b47dcf,b3efe1ad3670e4afea5b305704cb705c8
Figure 3.20: A Reversible Figure,Gestalt Principles,E3.26.html,ac1fc58ce64a451dbb6a864e27cc4ac7,Psychology,ce3d3604-520d-493d-b2ed-9659861705e2,689eb73d-fa97-4f05-aa6d-9b43daf38873,bac1fc58ce64a451dbb6a864e27cc4ac7
Figure 3.21 Gestalt Principles,Gestalt Principles,E3.27.html,3c0874d7e4d741488b2e5fc143c7f9ea,Psychology,ce3d3604-520d-493d-b2ed-9659861705e2,49a10ba0-5e06-4cad-a008-c620b2e26256,b3c0874d7e4d741488b2e5fc143c7f9ea
Figure 3.23: Monocular Depth Cues,Depth Perception,E3.31.html,86e091eff2434f99b4138dd11132ab0f,Psychology,dc3831f7-b95c-4bc7-be16-213ca6a97a10,1c98cf32-1571-4953-8d69-30e727fdb14d,b86e091eff2434f99b4138dd11132ab0f
Figure 3.8: Rods and Cones,Vision,E3.7.html,8e5d57f829c34e4785a88658ec794b80,Psychology,bb3abecd-c979-4019-b3c8-e8fe83931583,148afa41-aa80-4372-b9a1-020bd471dd48,b8e5d57f829c34e4785a88658ec794b80
Preferential Looking,Depth Perception,E3.30.html,d5e7f0acf9f143898f40a08acd072471,Psychology,dc3831f7-b95c-4bc7-be16-213ca6a97a10,05e2950d-cb46-403d-851a-5f630f8024fd,bd5e7f0acf9f143898f40a08acd072471
Frequency and Amplitude of Sound Waves,Hearing,E3.14.html,147b485daada4c18be9d724142ae7b97,Psychology,efbfe986-2424-4027-ae74-94e2c23760b9,1c9f2ec1-6a9a-4b4a-b95a-7b7e1913cd6f,b147b485daada4c18be9d724142ae7b97
"Using the example of a rock concert, describe the steps involved in the sensory coding of the sights and sounds.",Sensory System Basics,journal01.html,66734bbdc4a64131891a686c6f6625ce,Psychology,e2c4aa76-7da8-411e-b721-d70b1f1cafab,11bda865-1943-4cba-8001-173df193bb80,b66734bbdc4a64131891a686c6f6625ce
Describe an example of sensory adaptation from your everyday life.,Sensory Limits,journal02.html,29180bcfdd4d4dc2ae53f0f410ebeaae,Psychology,dca7a28d-4944-4598-acad-f0ceefcbd931,49149ea4-dbf0-4e66-b569-77adfa1d1d88,b29180bcfdd4d4dc2ae53f0f410ebeaae
Use a personal example to explain the difference between bottom-up and top-down processing.,Relationships Among the Sensory Systems,journal03.html,726bc5a9807d4edf939d0e6d51fe6050,Psychology,f9bd7e74-f016-4cb7-808d-f3aa8d02cf31,b1214ea4-5899-4d50-b31f-d22cabeaf3c4,b726bc5a9807d4edf939d0e6d51fe6050
"If you were describing how vision works to a friend, how would you explain it in only a few sentences?",Vision,journal04.html,61d8b87700e54d1d8a13e320f40a60e9,Psychology,bb3abecd-c979-4019-b3c8-e8fe83931583,9de6a977-9201-4619-b413-3165c1f6bd13,b61d8b87700e54d1d8a13e320f40a60e9
"If you were describing how hearing works to a friend, how would you explain it in only a few sentences?",Hearing,journal05.html,994b5f0e4c2f43b28aaf8afe91bd5da3,Psychology,efbfe986-2424-4027-ae74-94e2c23760b9,7dadff23-fe55-457a-af3f-3024842df0fb,b994b5f0e4c2f43b28aaf8afe91bd5da3
"Would you make the argument that smell and taste are two separate senses, or one sense? Explain.",The Chemical Senses,journal06.html,bd4b5014bcfd48d19d6ab0ac5cbd4be2,Psychology,d24f613a-9d49-4ffa-8923-0c99e49569fa,decc2a4f-000a-433e-9da7-ad2922336447,bbd4b5014bcfd48d19d6ab0ac5cbd4be2
Imagine your friend has twisted his or her ankle while hiking. Your job is to stay with your friend while others go for help. What psychological methods of pain control could you use to help your friend? Explain.,Skin and Body Senses,journal07.html,29c070a574e745f69a6b1d47bfe25bb8,Psychology,8cb69398-7176-4c9f-8a61-9be9071c79ba,ce9fc605-4f8a-47fc-abee-1a487c1ae4cc,b29c070a574e745f69a6b1d47bfe25bb8
Generate a personal example of each of the perceptual constancies from your everyday life.,Constancies,journal08.html,b3137bb750a947128953b7c83f856d6e,Psychology,cca319f8-449a-4180-b2d8-730a3f77b625,b46c331e-d77c-493b-84eb-26f2e63c2fb7,bb3137bb750a947128953b7c83f856d6e
Psychologists argue that sensory experiences are organized according to basic laws or principles. What do they mean by this? Give at least three examples of these principles.,Gestalt Principles,journal09.html,022ce3d349f94a59b4c90b10afa9118d,Psychology,ce3d3604-520d-493d-b2ed-9659861705e2,d0eaea45-29e9-405a-a98e-d6fc9dbe2b05,b022ce3d349f94a59b4c90b10afa9118d
What is meant by depth perception? What sorts of information do we use to determine depth?,Depth Perception,journal10.html,40aa198ae9fe4c668098c59889e18651,Psychology,dc3831f7-b95c-4bc7-be16-213ca6a97a10,399baa75-30e2-4803-b0f6-c05afaea9acb,b40aa198ae9fe4c668098c59889e18651
Describe how your past experiences can influence how you perceive new information.,Perceptual Learning,journal11.html,bc992d783f264e2a9d1df0b12acb2382,Psychology,a6b7efdb-584f-4268-9f42-407b20b58f16,5acb8ce5-19ca-48d1-bd9a-3a0f8ff4523d,bbc992d783f264e2a9d1df0b12acb2382
What are optical illusions and how can they be both beneficial and problematic in daily life?,Optical Illusions,journal12.html,525e06fc242043e0ac9f66ff46e43360,Psychology,bddcfd8b-7462-4047-b7cc-f8237262be38,ae960fde-a8bb-4d79-9d20-c2a5f076382b,b525e06fc242043e0ac9f66ff46e43360
