,,,,,,,,,
Asset Name/Title,Habitat Card Asset Resides On,File Name,GUID from Habitat,Subject,PAF Assignment ID,PAF Activity ID,PAF Container ID,Base URL,Preview URL
Examples of simplified population age structures,Why are age structures and dependency ratios important?,68830_HP_02_01.html,8c42f914a2614384b276f7ce9bc11586,EnvironmentalScience,0517d26c-51ab-4159-9e2a-493e85927646,209a8510-829f-479f-8ee4-18a2df858be4,b8c42f914a2614384b276f7ce9bc11586,,
A conceptual model for the demographic transition,How have birth and death rates changed over time?,68830_HP_02_02.html,085f865b34f842059afd74cad6bfa4e5,EnvironmentalScience,0f79bc93-6391-4066-ba6c-157734aa6d26,31789a47-178c-4c14-872b-ddb3446778be,b085f865b34f842059afd74cad6bfa4e5,,
Two approaches to controlling population growth,How can rapid population growth be slowed?,68830_HP_03_03.html,3300c66aa1a047bbb6df4b3b28d68435,EnvironmentalScience,f3a9bfe1-1aa0-49d2-adb9-9cc4395f99ea,03259cf9-e7a8-418f-b327-7428cb9e8628,b3300c66aa1a047bbb6df4b3b28d68435,,
The I=PAT model,Do all people have the same effect on the environment?,68830_HP_05_01.html,b46c3a9f598843e0b2990ec683d27d51,EnvironmentalScience,45caff4f-d702-4995-8e54-65274a4370a1,fa24cae5-0b53-4951-90a3-a9b28018a76a,bb46c3a9f598843e0b2990ec683d27d51,,
What would be required to feed 9 billion people by 2050?,What does population growth mean for the global environment?,68830_HP_06_03.html,6f8740919ba145c9bc44c4e8c31015e8,EnvironmentalScience,fdb8294f-7bcd-4a67-83e9-1366046c7384,a4f5ee22-06e0-4e86-bc0e-1126b0087649,b6f8740919ba145c9bc44c4e8c31015e8,,
Interactive Lab: The Effect of Total Fertility Rate on Population Growth,Interactive Lab: The Effect of Total Fertility Rate on Population Growth,AgeSimFertile.html,224d16baf7644821b63e0a58aae443e9,EnvironmentalScience,c377c71c-6a54-4c6c-8494-07001925e1a3,0daf6db8-46d9-4d0e-849e-058f8d4f6f7a,b224d16baf7644821b63e0a58aae443e9,,
Interactive Lab: The Effect of Total Fertility Rate on Population Growth,Interactive Lab: The Effect of Total Fertility Rate on Population Growth,AgeSimFertile.html,027bece5c5784b6490e15ff01bbdf4b5,EnvironmentalScience,9161DD62-F9DD-4110-B3EB-9068FBA2DDCC,44DAE11B-D40F-4F46-8963-7CA12EC09C80,b027bece5c5784b6490e15ff01bbdf4b5,,
Interactive Lab: The Effect of Total Fertility Rate on Population Growth,Interactive Lab: The Effect of Total Fertility Rate on Population Growth,AgeSimFertile.html,59156be2773d4c3c82fa621cd5b0476b,EnvironmentalScience,9161DD62-F9DD-4110-B3EB-9068FBA2DDCC,44DAE11B-D40F-4F46-8963-7CA12EC09C80,b59156be2773d4c3c82fa621cd5b0476b,,http://dev-414158649.us-west-1.elb.amazonaws.com/brix-demo/PlayerProto/test/integration/testpage-1div.html?assignment=755905f9-67aa-48d7-8556-9a6bd1ae1483&activity=42bc29ec-c431-4ad7-93d7-2823162b385b&divid=b8c42f914a2614384b276f7ce9bc11586&env=qa
Interactive Lab: The Effect of Total Fertility Rate on Population Growth,Interactive Lab: The Effect of Total Fertility Rate on Population Growth,AgeSimFertile.html,0f426ac794f646bdb493df7cfa969fd6,EnvironmentalScience,9161DD62-F9DD-4110-B3EB-9068FBA2DDCC,44DAE11B-D40F-4F46-8963-7CA12EC09C80,b0f426ac794f646bdb493df7cfa969fd6,,
Interactive Lab: The Effect of Age of First Childbirth on Population Growth,Interactive Lab: The Effect of Age of First Childbirth on Population Growth,AgeSimBirth.html,15e0c5f0a2634580bcf30828629163e6,EnvironmentalScience,65aa1089-a324-4fa2-bddc-277bfa31e013,6b47b58a-8e72-4904-976b-42a597ff7f1f,b15e0c5f0a2634580bcf30828629163e6,,
Interactive Lab: The Effect of Age of First Childbirth on Population Growth,Interactive Lab: The Effect of Age of First Childbirth on Population Growth,AgeSimBirth.html,b1c1e22751b24148b998f6030ff7a776,EnvironmentalScience,65aa1089-a324-4fa2-bddc-277bfa31e013,6b47b58a-8e72-4904-976b-42a597ff7f1f,b15e0c5f0a2634580bcf30828629163e6,,http://dev-414158649.us-west-1.elb.amazonaws.com/brix-demo/PlayerProto/test/integration/testpage-1div.html?assignment=126331ce-5263-459b-9d3a-8c0df4f0356b&activity=c830a442-b115-4c58-b1b3-503123ea9c87&divid=bf82847bffdfe4bb98500e715e079f741&env=qa
Interactive Lab: The Effect of Age of First Childbirth on Population Growth,Interactive Lab: The Effect of Age of First Childbirth on Population Growth,AgeSimBirth.html,265ccc70104940c085db245d11a04fd8,EnvironmentalScience,65aa1089-a324-4fa2-bddc-277bfa31e013,6b47b58a-8e72-4904-976b-42a597ff7f1f,b15e0c5f0a2634580bcf30828629163e6,,
Interactive Lab: The Effect of Age of First Childbirth on Population Growth,Interactive Lab: The Effect of Age of First Childbirth on Population Growth,AgeSimBirth.html,80d4cb5294d8411894be965d7984e0c4,EnvironmentalScience,65aa1089-a324-4fa2-bddc-277bfa31e013,6b47b58a-8e72-4904-976b-42a597ff7f1f,b15e0c5f0a2634580bcf30828629163e6,,
Interactive Lab: Human Populations,Interactive Lab: Human Populations,AgeSim.html,d26e2320703b4087a6a013e01f3f0bb9,EnvironmentalScience,993dedcd-12d8-4768-a2e3-455732fbe00d,ef218ece-1033-4d63-b0dd-731de6827b2e,bd26e2320703b4087a6a013e01f3f0bb9,,
Interactive Lab: Human Populations,Interactive Lab: Human Populations,AgeSim.html,25a16f66b9754457b18d4f837e5141e1,EnvironmentalScience,993dedcd-12d8-4768-a2e3-455732fbe00d,ef218ece-1033-4d63-b0dd-731de6827b2e,bd26e2320703b4087a6a013e01f3f0bb9,,
Interactive Lab: Human Populations,Interactive Lab: Human Populations,AgeSim.html,42a6ce95b82643498800287764bacfc6,EnvironmentalScience,993dedcd-12d8-4768-a2e3-455732fbe00d,ef218ece-1033-4d63-b0dd-731de6827b2e,bd26e2320703b4087a6a013e01f3f0bb9,,
Interactive Lab: Human Populations,Interactive Lab: Human Populations,AgeSim.html,344007fec7e64621a4b14f60f54e2f06,EnvironmentalScience,993dedcd-12d8-4768-a2e3-455732fbe00d,ef218ece-1033-4d63-b0dd-731de6827b2e,bd26e2320703b4087a6a013e01f3f0bb9,,
Interactive Lab: Human Populations,Interactive Lab: Human Populations,AgeSim.html,7abeeb378bcb442ab2fe11a9ef2f3f39,EnvironmentalScience,993dedcd-12d8-4768-a2e3-455732fbe00d,ef218ece-1033-4d63-b0dd-731de6827b2e,bd26e2320703b4087a6a013e01f3f0bb9,,
Interactive Lab: Human Populations,Interactive Lab: Human Populations,AgeSim.html,1aecdd0ced3b4613b246cb9311043c71,EnvironmentalScience,993dedcd-12d8-4768-a2e3-455732fbe00d,ef218ece-1033-4d63-b0dd-731de6827b2e,bd26e2320703b4087a6a013e01f3f0bb9,,
Interactive Lab: Age Structure of the United States from 1950-2050,Interactive Lab: Age Structure of the United States from 1950-2050,AgeStructureCountries.html,709beaea284b4d1f91902621422fee1b,EnvironmentalScience,06b5e9e4-b9ac-4f90-87bc-1485c2216f2b,3e904ec1-e49d-489e-a7d5-4b6b15dbc50e,b709beaea284b4d1f91902621422fee1b,,
Interactive Lab: Age Structure of the United States from 1950-2050,Interactive Lab: Age Structure of the United States from 1950-2050,AgeStructureCountries.html,8972fb7823d245b79811293727fe16b9,EnvironmentalScience,06b5e9e4-b9ac-4f90-87bc-1485c2216f2b,3e904ec1-e49d-489e-a7d5-4b6b15dbc50e,b709beaea284b4d1f91902621422fee1b,,
Interactive Lab: Age Structure of the United States from 1950-2050,Interactive Lab: Age Structure of the United States from 1950-2050,AgeStructureCountries.html,c2b156c95f754abb968b73c0ae13b3b5,EnvironmentalScience,06b5e9e4-b9ac-4f90-87bc-1485c2216f2b,3e904ec1-e49d-489e-a7d5-4b6b15dbc50e,b709beaea284b4d1f91902621422fee1b,,
"Global energy use, 1800–2000",How has energy use changed over the last 200 years?,68830_EU_01_01.html,b689ee6c8a4143feab39daa527951ae5,EnvironmentalScience,6216c671-b81a-411d-b6f5-7b9f27f58419,c7680821-900f-4a72-a8a8-16422ec16ce9,bb689ee6c8a4143feab39daa527951ae5,,
How electricity is typically generated,Where does electricity come from?,68830_EU_04_01.html,dc328cbba71b474eb02866361cfb1663,EnvironmentalScience,aa00d153-1410-45ac-9c4e-d114e41d789b,4ac52c14-dc36-4627-b919-922c1164330a,bdc328cbba71b474eb02866361cfb1663,,
Examples of decentralized power generation,What is a decentralized power generation system?,68830_EU_04_04.html,b492b562748e4edeb728c3112b31bde4,EnvironmentalScience,f4c336b9-c4ee-458a-9986-db72a1656cbb,1893cba9-48d5-421e-a157-d5bc4232e474,bb492b562748e4edeb728c3112b31bde4,,
Examples of how electricity generation affects the environment,What are the impacts of using fossil fuels to generate electricity? ,68830_EU_04_05.html,f82847bffdfe4bb98500e715e079f741,EnvironmentalScience,126331ce-5263-459b-9d3a-8c0df4f0356b,c830a442-b115-4c58-b1b3-503123ea9c87,bf82847bffdfe4bb98500e715e079f741,,
Examples of the use of biomass fuels ,What fuels are used for cooking and heating in developing countries? ,68830_EU_05_01.html,0a5c4ba2c12d465ab303da49d2effdea,EnvironmentalScience,4f1548e3-1046-4b7f-a931-6864e0b138d3,4ecc1d1c-8545-470b-934b-4336620663bd,b0a5c4ba2c12d465ab303da49d2effdea,,
How we get fuel for transportation ,Where do transportation fuels come from?,68830_EU_06_01.html,37df0a684fa340eda04d73fa43644ea0,EnvironmentalScience,7b2e16b8-5ad5-4366-8ba3-3d965da66bc8,152941b0-4154-4e2d-8c2e-982ecf8a923d,b37df0a684fa340eda04d73fa43644ea0,,
How an automobile internal combustion engine works,How does liquid fuel power our transportation? ,68830_EU_06_02.html,fb86bc5f0171485792ccf98432f8b6d5,EnvironmentalScience,fa530f20-c5e7-47bb-9efe-3f5085d81aec,51809b27-ec1e-4364-b622-f502cb9138c2,bfb86bc5f0171485792ccf98432f8b6d5,,
Hybrid car technology,How do hybrid cars work and what are their benefits?,68830_EU_06_03.html,07cf72fd876d4d37bd89fe691f8205ca,EnvironmentalScience,19cf1bfa-0738-4725-8cbc-b6032947acd6,bedb5fd7-0980-4d45-aa29-33f3bdebdc95,b07cf72fd876d4d37bd89fe691f8205ca,,http://dev-414158649.us-west-1.elb.amazonaws.com/brix-demo/PlayerProto/test/integration/testpage-1div.html?assignment=0517d26c-51ab-4159-9e2a-493e85927646&activity=209a8510-829f-479f-8ee4-18a2df858be4&divid=b8c42f914a2614384b276f7ce9bc11586&env=dev
Electric car technology,How do electric cars work and what are their benefits?,68830_EU_06_04.html,56faab308132408880c09f470b51969c,EnvironmentalScience,c896072d-3cdd-485a-a599-bbc5bbe0166b,a0998a85-f8db-4198-9f68-c834e6864bc1,b56faab308132408880c09f470b51969c,,
Technology and choices that may INCREASE future impacts of transportation,What is the future of transportation?,68830_EU_08_02a.html,c25b6e58b7244950ad4e4419b2e0bace,EnvironmentalScience,b74926a8-3534-4000-adca-fc70220535e0,2bd2efb1-4f17-41ad-8984-1c7d68da0c99,bc25b6e58b7244950ad4e4419b2e0bace,,
